,Track Name,Artists,Album Name,Album ID,Track ID,Popularity,Release Date,Explicit,External URLs,Duration (ms),genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo
24,Riptide,Vance Joy,Dream Your Life Away (Special Edition),5S9b8euumqMhQbMk0zzQdH,3JvrhDOgAt6p7K8mDyZwRd,86,2014-09-09,False,https://open.spotify.com/track/3JvrhDOgAt6p7K8mDyZwRd,204280,"['folk-pop', 'modern rock']",0.484,0.731,1,-6.694,1,0.0379,0.431,0.0,0.151,0.51,101.654
25,Havana (feat. Young Thug),"Camila Cabello, Young Thug",Camila,2vD3zSQr8hNlg0obNel4TE,1rfofaqEpACxVEHIZBJe6W,82,2018-01-12,False,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W,217307,"['dance pop', 'pop']",0.765,0.523,2,-4.333,1,0.03,0.184,3.56e-05,0.132,0.394,104.988
26,As It Was,Harry Styles,Harry's House,5r36AJ6VOJtp00oxSkBZ5h,4Dvkj6JhhA12EX05fT7y2e,95,2022-05-20,False,https://open.spotify.com/track/4Dvkj6JhhA12EX05fT7y2e,167303,['pop'],0.52,0.731,6,-5.338,0,0.0557,0.342,0.00101,0.311,0.662,173.93
27,Happy Face,Jagwar Twin,33,1FDNmr1WNyQ0Ag27IBAc06,4ochm99Pc9wVHnHIY3cqxb,75,2022-09-30,False,https://open.spotify.com/track/4ochm99Pc9wVHnHIY3cqxb,169760,[],0.419,0.707,9,-6.488,1,0.0499,0.0174,0.0,0.157,0.37,177.551
28,"Moves Like Jagger - Studio Recording From ""The Voice"" Performance","Maroon 5, Christina Aguilera",Hands All Over,7strNUlU6xZqlVWBNUdOYv,7LcfRTgAVTs5pQGEQgUEzN,76,2010,False,https://open.spotify.com/track/7LcfRTgAVTs5pQGEQgUEzN,201160,['pop'],0.722,0.758,11,-4.477,0,0.0471,0.0111,0.0,0.308,0.62,128.047
29,Living Hell,Bella Poarch,Dolls EP,4W8QhTVggLgkJLdsXLLnnz,6bTbMMEShyGyrcuIwtBlpA,66,2022-08-12,False,https://open.spotify.com/track/6bTbMMEShyGyrcuIwtBlpA,174002,['modern alternative pop'],0.729,0.551,0,-6.935,0,0.056,0.598,0.0,0.176,0.312,124.044
30,More Than You Know,Axwell /\ Ingrosso,More Than You Know,6Ei5WWek37m1x9AjpSXTcJ,6h5PAsRni4IRlxWr6uDPTP,84,2017-07-28,False,https://open.spotify.com/track/6h5PAsRni4IRlxWr6uDPTP,203000,"['edm', 'pop dance']",0.646,0.741,5,-4.973,0,0.034,0.0275,0.0,0.312,0.571,123.077
31,It Ain’t Me (with Selena Gomez),"Kygo, Selena Gomez",It Ain't Me,4VNy5ifZtW3E9SgffbGEti,12GEpg2XOPyqk03JZEZnJs,71,2017-02-17,False,https://open.spotify.com/track/12GEpg2XOPyqk03JZEZnJs,220781,"['edm', 'pop', 'pop dance', 'tropical house']",0.64,0.533,0,-6.596,1,0.0706,0.119,0.0,0.0864,0.515,99.968
32,AOK,Tai Verdes,TV,6E8lxwX7KMAO9nCx4A5tAR,1sx0XsWUusUoPstbvokZjP,75,2021-05-20,True,https://open.spotify.com/track/1sx0XsWUusUoPstbvokZjP,173640,"['modern indie pop', 'singer-songwriter pop']",0.731,0.626,11,-6.919,1,0.0805,0.125,0.0,0.183,0.862,82.488
33,Cruel Summer,Taylor Swift,Lover,1NAmidJlEaVgA3MpcPFYGq,1BxfuPKGuaTgP7aM0Bbdwr,99,2019-08-23,False,https://open.spotify.com/track/1BxfuPKGuaTgP7aM0Bbdwr,178427,['pop'],0.552,0.702,9,-5.707,1,0.157,0.117,2.06e-05,0.105,0.564,169.994
34,We Don't Talk Anymore (feat. Selena Gomez),"Charlie Puth, Selena Gomez",Nine Track Mind,3kndSWeE2IYOrZEToZrHEV,37FXw5QGFN7uwwsLy8uAc0,71,2016-01-29,False,https://open.spotify.com/track/37FXw5QGFN7uwwsLy8uAc0,217707,"['pop', 'viral pop']",0.728,0.563,1,-8.053,0,0.134,0.621,0.0,0.179,0.352,100.017
35,One More Night,Maroon 5,Overexposed (Deluxe),2pjfMmH52fryXVQuWTWOgP,4XNrMwGx1SqP01sqkGTDmo,75,2012-01-01,False,https://open.spotify.com/track/4XNrMwGx1SqP01sqkGTDmo,219467,['pop'],0.718,0.82,5,-3.453,0,0.0323,0.0444,0.0,0.0846,0.613,92.998
36,Perfect,Ed Sheeran,÷ (Deluxe),3T4tUhGYeRNVUGevb0wThu,0tgVpDi06FyKpA1z0VMD4v,91,2017-03-03,False,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v,263400,"['pop', 'singer-songwriter pop', 'uk pop']",0.599,0.448,8,-6.312,1,0.0232,0.163,0.0,0.106,0.168,95.05
37,Bad Romance,Lady Gaga,The Fame Monster (Deluxe Edition),6rePArBMb5nLWEaY9aQqL4,0SiywuOBRcynK0uKGWdCnn,87,2009-11-05,True,https://open.spotify.com/track/0SiywuOBRcynK0uKGWdCnn,294573,"['art pop', 'dance pop', 'pop']",0.696,0.921,0,-3.755,1,0.0363,0.00314,5.24e-05,0.0842,0.714,119.001
